Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughName,IncGeo_WardName,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,MainCauseModel,Date
2009,November,primary fire,converted flats/maisonettes,0,0,Westminster,Little venice,fridge/freezer,wiring insulation,kitchen,Bosch,fridge/freezer,2009-11-01
2009,July,primary fire,converted flats/maisonettes,0,0,Newham,Plaistow south,fridge/freezer,plastic - raw material only,kitchen,Fridgemaster,,2009-07-01
2009,December,primary fire,converted flats/maisonettes,0,0,Hammersmith and fulham,Addison,,other item,utility room,,,2009-12-01
2009,December,primary fire,converted flats/maisonettes,0,0,Newham,Maryland,,wiring insulation,kitchen,Servis,1500rpm,2009-12-01
2009,May,primary fire,house in multiple occupation,0,0,Hackney,Lea bridge,fridge/freezer,internal fittings,bedroom,Candy,not known burnt away,2009-05-01
2009,November,primary fire,dwelling,0,0,Wandsworth,Tooting bec,tumble dryer - standard,wiring insulation,"under stairs (enclosed, storage area)",Aeg,,2009-11-01
2009,December,primary fire,dwelling,0,0,Hillingdon,Uxbridge,tumble dryer - standard,other item,kitchen,Hotpoint,aquarius tumble dryer,2009-12-01
2009,December,primary fire,dwelling,0,0,Hillingdon,Pinkwell,dishwasher,,kitchen,Diplomat,none on machine,2009-12-01
2009,December,primary fire,dwelling,0,0,Greenwich,Eltham park & progress,dishwasher,wiring insulation,kitchen,Indesit,dif 04,2009-12-01
2009,December,primary fire,dwelling,0,0,Hackney,Brownswood,dishwasher,plastic - raw material only,kitchen,Neff,s5443x1gb/29,2009-12-01
2009,December,primary fire,dwelling,0,0,Brent,Kingsbury,washer/dryer combined,wiring insulation,kitchen,Zanussi,essential 1600 washer dryer,2009-12-01
2009,November,primary fire,dwelling,0,0,Bexley,Falconwood & welling,,wiring insulation,kitchen,Hotpoint,aquarius 1100,2009-11-01
2009,November,primary fire,dwelling,0,0,Greenwich,West thamesmead,,wiring insulation,kitchen,Hotpoint,ultima 1200,2009-11-01
2009,December,primary fire,dwelling,0,0,Lewisham,Rushey green,tumble dryer - standard,wiring insulation,kitchen,Hotpoint,tumble dryer,2009-12-01
2009,December,primary fire,dwelling,0,0,Lambeth,Herne hill & loughborough junction,tumble dryer - standard,wiring insulation,kitchen,Creda,tvr 2,2009-12-01
2009,November,primary fire,dwelling,0,0,Barnet,East barnet,tumble dryer - standard,plastic - raw material only,garage,Bosch,tumble dryer,2009-11-01
2009,November,primary fire,dwelling,0,4,Newham,Manor park,fridge/freezer,gases,kitchen,Daewoo,erf344msg,2009-11-01
2009,November,primary fire,dwelling,0,0,Hammersmith and fulham,Grove,tumble dryer - standard,plastic - raw material only,utility room,Whirlpool,,2009-11-01
2009,November,primary fire,dwelling,0,0,Haringey,Highgate,tumble dryer - standard,clothing,utility room,Miele,tumble dryer,2009-11-01
2009,November,primary fire,dwelling,0,0,Barnet,Finchley church end,tumble dryer - standard,unspecified internal fitting/part of structure,utility room,Siemens,wt 720 cgb,2009-11-01
2009,November,primary fire,dwelling,0,0,Hillingdon,Uxbridge,tumble dryer - standard,wiring insulation,utility room,Hotpoint,aquarist tumble dryer,2009-11-01
2009,October,primary fire,dwelling,0,0,Kingston upon thames,Tudor,dishwasher,other item,kitchen,,,2009-10-01
2009,November,primary fire,dwelling,0,0,Havering,Rush green & crowlands,tumble dryer - standard,other item,kitchen,,,2009-11-01
2009,September,primary fire,dwelling,0,0,Barnet,Finchley church end,dishwasher,wiring insulation,kitchen,Bosch,calgont finish,2009-09-01
2009,February,primary fire,converted flats/maisonettes,0,0,Barnet,Barnet vale,fridge/freezer,plastic - raw material only,kitchen,Whirlpool,afb409/g/wp,2009-02-01
2009,March,primary fire,converted flats/maisonettes,0,0,Hammersmith and fulham,Sands end,,other item,kitchen,Indesit,wil 103 (uk),2009-03-01
2009,May,primary fire,converted flats/maisonettes,0,0,Islington,St. peter's & canalside,tumble dryer - standard,clothing,kitchen,Sensodry,dual heat tumble dryer,2009-05-01
2009,December,primary fire,house in multiple occupation,0,0,Waltham forest,High street,fridge/freezer,plastic - raw material only,kitchen,Aeg,,2009-12-01
2009,September,primary fire,house in multiple occupation,0,0,Lambeth,Streatham common & vale,,wiring insulation,kitchen,,washing machine/unknown,2009-09-01
2009,April,primary fire,house in multiple occupation,0,0,Enfield,New southgate,fridge/freezer,other/unspecified furnishings,kitchen,,,2009-04-01
2009,May,primary fire,dwelling,0,1,Wandsworth,Furzedown,spin dryer,wiring insulation,kitchen,Creda,"debonaire autopump, s20 ipw",2009-05-01
2009,October,primary fire,dwelling,0,0,Barking and dagenham,Becontree,,other item,kitchen,Aeg,76200,2009-10-01
2009,October,primary fire,dwelling,0,0,Lambeth,Clapham town,dishwasher,wiring insulation,kitchen,De dietrich,36vldhgb1,2009-10-01
2009,October,primary fire,dwelling,0,0,Bromley,Bromley common & holwood,,unspecified internal fitting/part of structure,conservatory,Indesit,wia 101 (uk),2009-10-01
2009,September,primary fire,dwelling,0,0,Enfield,Oakwood,,wiring insulation,kitchen,,,2009-09-01
2009,October,primary fire,dwelling,0,0,Croydon,Thornton heath,fridge/freezer,plastic - raw material only,utility room,Danfoss,,2009-10-01
2009,October,primary fire,dwelling,0,0,Bromley,St. mary cray,dishwasher,other item,kitchen,Indesit,?,2009-10-01
2009,October,primary fire,dwelling,0,0,Camden,Regent's park,tumble dryer - standard,wiring insulation,utility room,Creda,simplicity tvr2,2009-10-01
2009,September,primary fire,dwelling,0,0,Haringey,South tottenham,,plastic - raw material only,kitchen,Indesit,wi2111,2009-09-01
2009,July,primary fire,dwelling,0,0,Kensington and chelsea,Notting dale,,plastic - raw material only,kitchen,,,2009-07-01
2009,August,primary fire,dwelling,0,1,Barnet,High barnet,tumble dryer - standard,clothing,utility room,Indesit,1560v,2009-08-01
2009,August,primary fire,dwelling,0,0,Greenwich,Blackheath westcombe,tumble dryer - standard,wiring insulation,utility room,Hoover,maxi 6 tumble drier,2009-08-01
2009,September,primary fire,dwelling,0,0,Barnet,East barnet,tumble dryer - standard,wiring insulation,utility room,Hotpoint,aquarius t.d.l 31,2009-09-01
2009,August,primary fire,dwelling,0,1,Kingston upon thames,Old malden,fridge/freezer,other item,kitchen,,,2009-08-01
2009,August,primary fire,dwelling,0,0,Hillingdon,Heathrow villages,tumble dryer - standard,plastic - raw material only,kitchen,Hotpoint,tdl12p,2009-08-01
2009,July,primary fire,dwelling,0,0,Redbridge,Fairlop,fridge/freezer,wiring insulation,kitchen,,,2009-07-01
2009,June,primary fire,offices and call centres,0,0,Bromley,Penge & cator,tumble dryer - standard,wiring insulation,utility room,Indesit,1560v tumble dryer,2009-06-01
2009,August,primary fire,dwelling,0,0,Croydon,Thornton heath,,plastic - raw material only,kitchen,Bosch,,2009-08-01
2009,August,primary fire,dwelling,0,0,Bromley,Bickley & sundridge,dishwasher,other item,kitchen,Westinghouse,3e1181213231110,2009-08-01
2009,November,primary fire,retail,0,0,Southwark,St. giles,tumble dryer - standard,gases,shop floor/showroom/display hall,,,2009-11-01
2009,January,primary fire,retail,0,0,Wandsworth,Lavender,washer/dryer combined,,shop floor/showroom/display hall,,,2009-01-01
2009,October,primary fire,food and drink,0,0,Westminster,West end,fridge/freezer,wiring insulation,store room,Carvell,,2009-10-01
2009,April,primary fire,sporting venues,0,0,Haringey,Northumberland park,fridge/freezer,plastic - raw material only,kitchen,Staycold,double glass door fridge,2009-04-01
2009,July,primary fire,non residential,0,0,Barnet,Mill hill,fridge/freezer,wiring insulation,kitchen,,,2009-07-01
2009,July,primary fire,dwelling,0,0,Hounslow,Feltham west,tumble dryer - standard,other item,kitchen,Creda,simplicity dryer t522vw,2009-07-01
2009,July,primary fire,dwelling,0,0,Croydon,Bensham manor,fridge/freezer,internal fittings,living room,Beko,ca5411ff,2009-07-01
2009,July,primary fire,dwelling,0,0,Croydon,New addington south,dishwasher,internal fittings,kitchen,,,2009-07-01
2009,July,primary fire,dwelling,0,0,Croydon,Selsdon vale & forestdale,dishwasher,plastic - raw material only,kitchen,Indesit,d41,2009-07-01
2009,July,primary fire,dwelling,0,0,Barnet,Friern barnet,spin dryer,other item,kitchen,L g,tdc 70045e,2009-07-01
2009,July,primary fire,dwelling,0,0,Newham,Forest gate south,,,kitchen,Hoover,nextra6,2009-07-01
2009,July,primary fire,dwelling,0,0,Croydon,Shirley north,tumble dryer - standard,other textiles,kitchen,Indesit,g74l,2009-07-01
2009,July,primary fire,dwelling,0,0,Islington,Highbury,tumble dryer - standard,plastic - raw material only,kitchen,,,2009-07-01
2009,June,primary fire,dwelling,0,0,Ealing,North greenford,fridge/freezer,wiring insulation,dining room,Beko,a1 fridge,2009-06-01
2009,June,primary fire,dwelling,0,1,Lewisham,Catford south,fridge/freezer,other item,kitchen,,,2009-06-01
2009,July,primary fire,dwelling,0,0,Lewisham,Crofton park,washer/dryer combined,plastic - raw material only,kitchen,,,2009-07-01
2009,June,primary fire,dwelling,0,0,Hammersmith and fulham,Parsons green & sandford,dishwasher,other item,kitchen,Neff,s4130 or s4132,2009-06-01
2009,June,primary fire,dwelling,0,0,Bromley,Petts wood & knoll,,wiring insulation,utility room,Hoover,wdm 120,2009-06-01
