Year,Month,IncType,ParentPropertyType,NumFireDeaths,NumAllFireInjuries,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,LocationFireStarted,ApplianceManufacturer,ApplianceManufacturerOther,MainCauseModel
2009,November,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000009,Ealing,E05013536,South Acton,Electricity,Dishwasher,Wiring insulation,Kitchen,HOTPOINT,NULL,FDW60G
2009,October,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000023,Lewisham,E05013714,Bellingham,Electricity,Washing machine,Wiring insulation,Kitchen,CANDY,NULL,not known
2009,September,Primary Fire,Purpose Built Flats/Maisonettes,0,1,E09000004,Bexley,E05011225,Erith,Electricity,Washer/Dryer combined,Plastic - raw material only,Kitchen,CANDY,NULL,Aquaviva 1300
2009,April,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000028,Southwark,E05011113,Rye Lane,Electricity,Washing machine,Other item,Kitchen,WHIRLPOOL,NULL,AWO5763
2009,June,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000007,Camden,E05013663,Kentish Town North,Electricity,Tumble dryer - Standard,Other item,Kitchen,HOTPOINT,NULL,Aquaries TDL 30
2009,March,Primary Fire,Purpose Built Flats/Maisonettes,0,0,E09000009,Ealing,E05013540,Southfield,Electricity,Dishwasher,Wiring insulation,Kitchen,DIPLOMAT,NULL,ADP 8352
2009,April,Primary Fire,Converted Flats/Maisonettes,0,0,E09000028,Southwark,E05011111,Peckham Rye,Electricity,Washing machine,Other item,Kitchen,ARISTON,NULL,AB1036T
2009,May,Primary Fire,Converted Flats/Maisonettes,0,1,E09000033,Westminster,E05013799,Little Venice,Electricity,Fridge/Freezer,Wiring insulation,Kitchen,Other,Unknown,Unknown
2009,October,Primary Fire,Converted Flats/Maisonettes,0,0,E09000022,Lambeth,E05014101,Clapham Park,Electricity,Dishwasher,Wiring insulation,Kitchen,INDESIT,NULL,DISHWASHER
2009,November,Primary Fire,Converted Flats/Maisonettes,0,0,E09000030,Tower Hamlets,E05009319,Bow East,Electricity,Washer/Dryer combined,Wiring insulation,Kitchen,INDESIT,NULL,wd125
2009,November,Primary Fire,Converted Flats/Maisonettes,0,0,E09000033,Westminster,E05013799,Little Venice,Electricity,Fridge/Freezer,Wiring insulation,Kitchen,BOSCH,NULL,FRIDGE/FREEZER
2009,July,Primary Fire,Converted Flats/Maisonettes,0,0,E09000025,Newham,E05013919,Plaistow South,Electricity,Fridge/Freezer,Plastic - raw material only,Kitchen,FRIDGEMASTER,NULL,unknown
2009,December,Primary Fire,Converted Flats/Maisonettes,0,0,E09000013,Hammersmith and Fulham,E05013733,Addison,Electricity,Washing machine,Other item,Utility room,NULL,NULL,NULL
2009,December,Primary Fire,Converted Flats/Maisonettes,0,0,E09000025,Newham,E05013917,Maryland,Electricity,Washing machine,Wiring insulation,Kitchen,SERVIS,NULL,1500rpm
2009,May,Primary Fire,House in Multiple Occupation,0,0,E09000012,Hackney,E05009380,Lea Bridge,Electricity,Fridge/Freezer,Internal Fittings,Bedroom,CANDY,NULL,not known burnt away
2009,November,Primary Fire,Dwelling,0,0,E09000032,Wandsworth,E05014023,Tooting Bec,Electricity,Tumble dryer - Standard,Wiring insulation,"Under stairs (enclosed, storage area)",AEG,NULL,unknown
2009,December,Primary Fire,Dwelling,0,0,E09000017,Hillingdon,E05013580,Uxbridge,Electricity,Tumble dryer - Standard,Other item,Kitchen,HOTPOINT,NULL,aquarius tumble dryer
2009,December,Primary Fire,Dwelling,0,0,E09000017,Hillingdon,E05013576,Pinkwell,Electricity,Dishwasher,Not known,Kitchen,DIPLOMAT,NULL,none on machine
2009,December,Primary Fire,Dwelling,0,0,E09000011,Greenwich,E05014078,Eltham Park & Progress,Electricity,Dishwasher,Wiring insulation,Kitchen,INDESIT,NULL,dif 04
2009,December,Primary Fire,Dwelling,0,0,E09000012,Hackney,E05009367,Brownswood,Electricity,Dishwasher,Plastic - raw material only,Kitchen,NEFF,NULL,S5443X1GB/29
2009,December,Primary Fire,Dwelling,0,0,E09000005,Brent,E05013504,Kingsbury,Electricity,Washer/Dryer combined,Wiring insulation,Kitchen,ZANUSSI,NULL,Essential 1600 washer dryer
